product_id,competitor_name,price,date_tracked
1000,Amazon,595.77,2025-01-25
1000,BestBuy,653.37,2025-01-25
1000,Walmart,680.25,2025-01-25
1000,Newegg,730.55,2025-01-25
1000,Amazon,685.04,2025-01-24
1000,BestBuy,586.78,2025-01-24
1000,Walmart,635.63,2025-01-24
1000,Newegg,588.59,2025-01-24
1000,Amazon,715.93,2025-01-23
1000,BestBuy,565.21,2025-01-23
1000,Walmart,672.55,2025-01-23
1000,Newegg,710.66,2025-01-23
1000,Amazon,654.59,2025-01-22
1000,BestBuy,624.01,2025-01-22
1000,Walmart,571.13,2025-01-22
1000,Newegg,561.09,2025-01-22
1000,Amazon,643.61,2025-01-21
1000,BestBuy,584.01,2025-01-21
1000,Walmart,687.21,2025-01-21
1000,Newegg,728.68,2025-01-21
1000,Amazon,595.41,2025-01-20
1000,BestBuy,710.67,2025-01-20
1000,Walmart,583.23,2025-01-20
1000,Newegg,562.13,2025-01-20
1000,Amazon,666.99,2025-01-19
1000,BestBuy,652.31,2025-01-19
1000,Walmart,563.03,2025-01-19
1000,Newegg,704.37,2025-01-19
1000,Amazon,726.94,2025-01-18
1000,BestBuy,730.76,2025-01-18
1000,Walmart,549.95,2025-01-18
1000,Newegg,565.89,2025-01-18
1000,Amazon,574.09,2025-01-17
1000,BestBuy,720.85,2025-01-17
1000,Walmart,681.2,2025-01-17
1000,Newegg,625.84,2025-01-17
1000,Amazon,575.58,2025-01-16
1000,BestBuy,575.85,2025-01-16
1000,Walmart,580.82,2025-01-16
1000,Newegg,632.73,2025-01-16
1000,Amazon,715.98,2025-01-15
1000,BestBuy,734.98,2025-01-15
1000,Walmart,657.06,2025-01-15
1000,Newegg,697.8,2025-01-15
1000,Amazon,668.93,2025-01-14
1000,BestBuy,632.23,2025-01-14
1000,Walmart,665.33,2025-01-14
1000,Newegg,709.29,2025-01-14
1000,Amazon,710.87,2025-01-13
1000,BestBuy,640.61,2025-01-13
1000,Walmart,730.82,2025-01-13
1000,Newegg,613.87,2025-01-13
1000,Amazon,546.65,2025-01-12
1000,BestBuy,560.68,2025-01-12
1000,Walmart,566.33,2025-01-12
1000,Newegg,686.36,2025-01-12
1000,Amazon,685.06,2025-01-11
1000,BestBuy,582.34,2025-01-11
1000,Walmart,596.87,2025-01-11
1000,Newegg,725.36,2025-01-11
1000,Amazon,601.91,2025-01-10
1000,BestBuy,696.01,2025-01-10
1000,Walmart,691.78,2025-01-10
1000,Newegg,605.13,2025-01-10
1000,Amazon,652.87,2025-01-09
1000,BestBuy,609.07,2025-01-09
1000,Walmart,674.4,2025-01-09
1000,Newegg,611.81,2025-01-09
1000,Amazon,652.41,2025-01-08
1000,BestBuy,717.15,2025-01-08
1000,Walmart,598.05,2025-01-08
1000,Newegg,692.41,2025-01-08
1000,Amazon,692.66,2025-01-07
1000,BestBuy,640.71,2025-01-07
1000,Walmart,614.15,2025-01-07
1000,Newegg,543.51,2025-01-07
1000,Amazon,615.76,2025-01-06
1000,BestBuy,635.55,2025-01-06
1000,Walmart,601.21,2025-01-06
1000,Newegg,563.72,2025-01-06
1000,Amazon,719.15,2025-01-05
1000,BestBuy,699.84,2025-01-05
1000,Walmart,578.32,2025-01-05
1000,Newegg,588.15,2025-01-05
1000,Amazon,636.24,2025-01-04
1000,BestBuy,678.73,2025-01-04
1000,Walmart,590.73,2025-01-04
1000,Newegg,590.23,2025-01-04
1000,Amazon,557.26,2025-01-03
1000,BestBuy,637.14,2025-01-03
1000,Walmart,651.14,2025-01-03
1000,Newegg,642.52,2025-01-03
1000,Amazon,701.22,2025-01-02
1000,BestBuy,685.79,2025-01-02
1000,Walmart,701.86,2025-01-02
1000,Newegg,544.09,2025-01-02
1000,Amazon,631.71,2025-01-01
1000,BestBuy,591.54,2025-01-01
1000,Walmart,732.21,2025-01-01
1000,Newegg,673.07,2025-01-01
1000,Amazon,561.96,2024-12-31
1000,BestBuy,621.31,2024-12-31
1000,Walmart,698.53,2024-12-31
1000,Newegg,682.78,2024-12-31
1000,Amazon,641.63,2024-12-30
1000,BestBuy,560.93,2024-12-30
1000,Walmart,664.2,2024-12-30
1000,Newegg,631.81,2024-12-30
1000,Amazon,605.79,2024-12-29
1000,BestBuy,570.33,2024-12-29
1000,Walmart,709.61,2024-12-29
1000,Newegg,679.41,2024-12-29
1000,Amazon,562.89,2024-12-28
1000,BestBuy,565.06,2024-12-28
1000,Walmart,652.65,2024-12-28
1000,Newegg,662.02,2024-12-28
1000,Amazon,609.4,2024-12-27
1000,BestBuy,697.13,2024-12-27
1000,Walmart,561.13,2024-12-27
1000,Newegg,682.86,2024-12-27
1001,Amazon,850.42,2025-01-25
1001,BestBuy,873.06,2025-01-25
1001,Walmart,700.21,2025-01-25
1001,Newegg,722.54,2025-01-25
1001,Amazon,718.33,2025-01-24
1001,BestBuy,696.98,2025-01-24
1001,Walmart,773.37,2025-01-24
1001,Newegg,707.42,2025-01-24
1001,Amazon,788.04,2025-01-23
1001,BestBuy,731.84,2025-01-23
1001,Walmart,804.84,2025-01-23
1001,Newegg,796.72,2025-01-23
1001,Amazon,837.28,2025-01-22
1001,BestBuy,886.58,2025-01-22
1001,Walmart,888.4,2025-01-22
1001,Newegg,688.97,2025-01-22
1001,Amazon,826.58,2025-01-21
1001,BestBuy,872.64,2025-01-21
1001,Walmart,742.94,2025-01-21
1001,Newegg,728.11,2025-01-21
1001,Amazon,869.91,2025-01-20
1001,BestBuy,667.06,2025-01-20
1001,Walmart,676.82,2025-01-20
1001,Newegg,742.09,2025-01-20
1001,Amazon,691.7,2025-01-19
1001,BestBuy,719.3,2025-01-19
1001,Walmart,865.36,2025-01-19
1001,Newegg,780.94,2025-01-19
1001,Amazon,738.7,2025-01-18
1001,BestBuy,659.54,2025-01-18
1001,Walmart,705.15,2025-01-18
1001,Newegg,678.68,2025-01-18
1001,Amazon,725.3,2025-01-17
1001,BestBuy,854.55,2025-01-17
1001,Walmart,726.53,2025-01-17
1001,Newegg,875.55,2025-01-17
1001,Amazon,733.86,2025-01-16
1001,BestBuy,831.52,2025-01-16
1001,Walmart,803.44,2025-01-16
1001,Newegg,788.81,2025-01-16
1001,Amazon,742.89,2025-01-15
1001,BestBuy,845.56,2025-01-15
1001,Walmart,681.14,2025-01-15
1001,Newegg,730.63,2025-01-15
1001,Amazon,809.62,2025-01-14
1001,BestBuy,715.33,2025-01-14
1001,Walmart,851.48,2025-01-14
1001,Newegg,720.97,2025-01-14
1001,Amazon,760.88,2025-01-13
1001,BestBuy,690.84,2025-01-13
1001,Walmart,791.72,2025-01-13
1001,Newegg,862.69,2025-01-13
1001,Amazon,766.95,2025-01-12
1001,BestBuy,764.94,2025-01-12
1001,Walmart,695.17,2025-01-12
1001,Newegg,685.44,2025-01-12
1001,Amazon,823.9,2025-01-11
1001,BestBuy,667.09,2025-01-11
1001,Walmart,885.61,2025-01-11
1001,Newegg,695.87,2025-01-11
1001,Amazon,678.94,2025-01-10
1001,BestBuy,832.96,2025-01-10
1001,Walmart,722.44,2025-01-10
1001,Newegg,871.83,2025-01-10
1001,Amazon,874.27,2025-01-09
1001,BestBuy,666.16,2025-01-09
1001,Walmart,742.9,2025-01-09
1001,Newegg,712.73,2025-01-09
1001,Amazon,800.03,2025-01-08
1001,BestBuy,675.84,2025-01-08
1001,Walmart,883.26,2025-01-08
1001,Newegg,748.01,2025-01-08
1001,Amazon,661.45,2025-01-07
1001,BestBuy,708.86,2025-01-07
1001,Walmart,881.7,2025-01-07
1001,Newegg,761.36,2025-01-07
1001,Amazon,801.96,2025-01-06
