user_id,product_id,event_type,event_timestamp,session_duration,quantity,price_paid,rating,review_text
5280,1012,browse,2024-10-28 10:47:31,46.0,,,,
5518,1006,browse,2024-10-28 10:47:31,446.0,,,,
5395,1023,browse,2024-10-28 10:47:31,429.0,,,,
5743,1009,purchase,2024-10-28 10:47:31,,1.0,2968.41,,
5292,1048,review,2024-10-28 10:47:31,,,,5.0,Laugh force identify above camera also difference.
5897,1027,review,2024-10-28 10:47:31,,,,3.0,Sense center run view room on figure statement something.
5401,1032,browse,2024-10-28 10:47:31,369.0,,,,
5003,1021,purchase,2024-10-28 10:47:31,,2.0,2771.15,,
5493,1022,purchase,2024-10-28 10:47:31,,1.0,3793.17,,
5654,1045,browse,2024-10-28 10:47:31,139.0,,,,
5879,1011,purchase,2024-10-28 10:47:31,,1.0,3527.62,,
5186,1036,browse,2024-10-28 10:47:31,224.0,,,,
5882,1037,browse,2024-10-28 10:47:31,489.0,,,,
5266,1010,browse,2024-10-28 10:47:31,62.0,,,,
5820,1026,review,2024-10-28 10:47:31,,,,5.0,Both protect ten language place leader goal executive letter development right sit where.
5802,1015,browse,2024-10-28 10:47:31,55.0,,,,
5090,1001,purchase,2024-10-28 10:47:31,,2.0,904.43,,
5288,1015,review,2024-10-28 10:47:31,,,,5.0,Degree common need phone teach audience project tax certainly set local wrong.
5954,1015,browse,2024-10-28 10:47:31,580.0,,,,
5036,1017,purchase,2024-10-28 10:47:31,,1.0,1019.35,,
5156,1003,browse,2024-10-28 10:47:31,330.0,,,,
5715,1049,browse,2024-10-28 10:47:31,582.0,,,,
5131,1009,browse,2024-10-28 10:47:31,306.0,,,,
5109,1010,purchase,2024-10-28 10:47:31,,1.0,1505.6,,
5961,1010,review,2024-10-28 10:47:31,,,,3.0,Individual major popular say think despite space face walk.
5108,1022,browse,2024-10-28 10:47:31,405.0,,,,
5866,1014,browse,2024-10-28 10:47:31,473.0,,,,
5927,1044,purchase,2024-10-28 10:47:31,,2.0,2971.86,,
5424,1035,browse,2024-10-28 10:47:31,287.0,,,,
5527,1036,purchase,2024-10-28 10:47:31,,1.0,848.47,,
5682,1033,browse,2024-10-28 10:47:31,279.0,,,,
5644,1009,browse,2024-10-28 10:47:31,543.0,,,,
5432,1010,browse,2024-10-28 10:47:31,481.0,,,,
5696,1026,browse,2024-10-28 10:47:31,463.0,,,,
5127,1021,browse,2024-10-28 10:47:31,156.0,,,,
5485,1014,review,2024-10-28 10:47:31,,,,1.0,Edge yard assume pattern direction sometimes might.
5094,1011,purchase,2024-10-28 10:47:31,,2.0,2904.3,,
5930,1008,browse,2024-10-28 10:47:31,244.0,,,,
5201,1033,purchase,2024-10-28 10:47:31,,2.0,1790.92,,
5415,1037,browse,2024-10-28 10:47:31,165.0,,,,
5879,1000,browse,2024-10-28 10:47:31,562.0,,,,
5298,1018,browse,2024-10-28 10:47:31,254.0,,,,
5225,1043,purchase,2024-10-28 10:47:31,,1.0,1286.12,,
5014,1008,purchase,2024-10-28 10:47:31,,1.0,1807.08,,
5899,1032,browse,2024-10-28 10:47:31,75.0,,,,
5999,1013,purchase,2024-10-28 10:47:31,,1.0,3115.91,,
5489,1025,browse,2024-10-28 10:47:31,31.0,,,,
5499,1017,purchase,2024-10-28 10:47:31,,2.0,897.07,,
5168,1047,browse,2024-10-28 10:47:31,248.0,,,,
5563,1031,browse,2024-10-28 10:47:31,589.0,,,,
5712,1047,browse,2024-10-28 10:47:31,512.0,,,,
5849,1034,browse,2024-10-28 10:47:31,17.0,,,,
5348,1032,browse,2024-10-28 10:47:31,480.0,,,,
5228,1007,browse,2024-10-28 10:47:31,270.0,,,,
5587,1039,browse,2024-10-28 10:47:31,316.0,,,,
5270,1026,browse,2024-10-28 10:47:31,415.0,,,,
5852,1034,browse,2024-10-28 10:47:31,247.0,,,,
5866,1028,browse,2024-10-28 10:47:31,225.0,,,,
5903,1012,browse,2024-10-28 10:47:31,221.0,,,,
5500,1033,browse,2024-10-28 10:47:31,232.0,,,,
5195,1022,review,2024-10-28 10:47:31,,,,5.0,Rich check usually early across talk short message again mean.
5574,1011,browse,2024-10-28 10:47:31,447.0,,,,
5707,1032,browse,2024-10-28 10:47:31,207.0,,,,
5740,1013,purchase,2024-10-28 10:47:31,,1.0,3118.86,,
5529,1012,purchase,2024-10-28 10:47:31,,2.0,620.17,,
5861,1044,review,2024-10-28 10:47:31,,,,1.0,Action occur direction community even bed step probably tax pull.
5811,1029,purchase,2024-10-28 10:47:31,,2.0,2525.16,,
5675,1013,browse,2024-10-28 10:47:31,78.0,,,,
5015,1003,browse,2024-10-28 10:47:31,370.0,,,,
